id,question,concept,true_answer,wrong1,wrong2,wrong3
n/a,The chicken cannot fly. It,n/a,crosses the road.,flies.,spreads its wings and flies.,tries to fly and succeeds.
n/a,The woman enjoyed the dog days of summer. She,n/a,always liked the hottest days best.,went skiing.,sold couches.,really loved hanging out with dogs.
n/a,The man is planning a surprise party for his friend. He,n/a,will cook dinner and invite friends,will sleep for a long time,will take his dog for a walk,will take his parents to temple.
n/a,The girl encounters a raccoon in her house. She,n/a,calls animal control.,forgot to take her makeup off last night.,feeds it some cat food.,introduces it to her cat.
n/a,"Known for having a green thumb, John",n/a,maintained a beautiful garden.,tried desperately to wash his thumb.,"painted his other fingers green, too.",always ate his fruits and vegetables.
n/a,John is a good student but Jack is not a good student. John,n/a,aces all his exams.,never goes to class.,flew around the room.,likes to knit scarves.
n/a,He dismounts and lands on a blue mat. He,n/a,waves at the crowd and walks off.,throws his arms up.,throws his arms in the air.,jumps high and falls and does a series of cartwheels.
n/a,"On a warm summer day, Ally relaxes on the beach. She",n/a,pulls out a book and begins to read.,orders a cup of hot chocolate from the hotel.,waves to her friend on the ski slope.,puts on her winter coat because she's cold.
n/a,Professor Downey has given a very difficult test but all students got the full marks except John . John is,n/a,sad that he hasn't got the full marks.,happy that he hasn't got the full marks.,dancing in celebration.,super happy that he came last in the test.
n/a,JD spray paints a wall. JD,n/a,does graffiti,paints on the sky,fires all the guns,is arsonist
n/a,"Please do not throw garbage on the road,",n/a,throw it in the trash.,throw it outside the other people houses.,throw it in the other people houses.,eat it.
n/a,The man is sharing some pasta with his date. His date,n/a,looks lovingly into his eyes.,stood him up.,is not there.,has to be postponed.
n/a,The kids go on a field trip to the museum. They,n/a,get bored quickly.,were born in the museum.,spend the night at the museum and the exhibits come to life.,spend the day working on homework.
n/a,"Professor Downey has amazing knowledge in all subjects except biology. Thus, He",n/a,doesn't teach Biology at all.,loves Biology.,got an award for his expertise in Biology.,teaches Biology very well.
n/a,The city councilmen refused the demonstrators a permit. The councilmen,n/a,feared violence from the demonstrators,did not like the city,were hungry for demonstrations,liked the demonstrators
