id,question,concept,true_answer,wrong1,wrong2,wrong3
n/a,Suzy reached the exam centre on time. She,n/a,met her friends at the gate.,danced her way to her room.,bought tofu for the night's dinner,went back home from the centre
n/a,Police received word of a burglary nearby. They,n/a,started driving to the location.,run in and steal items.,bring expensive items as replacements.,start investigating the family dog.
n/a,Harry Potter uttered the words of an invisibility spell and waved his wand at Hermione. She,n/a,turned translucent and disappeared.,drew her wand and pointed it at him.,shrunk down to the size of a rat.,said that she couldn't talk now.
n/a,ten minus nine is,n/a,one,eight,ten,nine
n/a,Sachin was considered the best batsman in the world when he retired last year. People,n/a,will miss watching him bat.,will miss watching him bowl.,will watch him bat next year.,hate watching him bat.
n/a,A dog walks into a lecture hall. It,n/a,lies in the front.,gives a lecture.,teaches the class.,speaks into a microphone.
n/a,I am tall enough to play basketball. I,n/a,am not short.,joined a basketball team.,am good at playing basketball.,love playing basketball.
n/a,A group of people is walking outdoors and are preparing to run in a race. They,n/a,run down city streets and wave to the crowd watching them.,get back in their cars,take a nap,run away from the bear.
n/a,The lion was on the lookout of a prey. He,n/a,was interrupted by the large caravan going by,submits to the will of the lioness,was friendly to people,had never tasted blood all his life
n/a,A dentist hands his patient a toothbrush. He,n/a,reminds them to use it twice a day.,"also hands them dental floss, says to make potato salad, and to stir it with the toothbrush","tells them they have cavities, consumes a tooth, and throws the toothbrush.","grabs toothpaste, squirts it on his computer, and throws away the toothbrush."
n/a,People learn second languages because,n/a,they are interested in them.,they want to talk to their parents.,they got nothing better to do.,people forget a language every year so they need to learn a new one so they can talk.
n/a,The dog is barking at a thief. The thief,n/a,is scared away,run to the dog and bite the dog,is laughing,likes the dog
n/a,Anne turned 13. She wore a beautiful dress and was surrounded by her friends and family. She ate a,n/a,birthday cake.,"carrot cake,",wedding cake.,hot dog.
n/a,"The word khaki originates in India and refers to a certain type of material. As a loan word, in English khaki means",n/a,a color and a type of pants.,that's right sucker.,Midwestern weather sucks.,let's go on a strike!
n/a,"Quincia is helping me with my machine learning homework. To thank her, I",n/a,offer to assist her in some other endeavor.,tell her I have cancer.,"throw all the papers up in the air and scream ""this is hopeless!""",never speak to her again.
n/a,A man's cat won't eat his food after surgery. The man should,n/a,call the vet.,put the cat outside.,cook the cat into his favorite food.,"get a new, better cat."
n/a,A parent is angry at a child for breaking a vase. The parent,n/a,lets the child off the hook with a warning,trades the child for a vase,lets the child break another vase,punishes the vase for breaking the kid
n/a,The dog is chasing the cat. The cat,n/a,is terrified.,is trying to find the cat food.,is sharing a meal with the dog.,is hunting a mouse.
n/a,"For the holidays, I eat a lot of food. I",n/a,love gingerbread cookies best,donated a sweater,planted a flower,lost weight
n/a,Mary scrolls through her Facebook newsfeed. She,n/a,likes a picture of an elephant.,throws her phone on the ground.,laughs at a eulogy post.,picks up a piece of paper.
n/a,My parents bought are purchasing an air conditioner in the store. I,n/a,will feel good in the summer.,will play better at basketball.,will drive to work today.,will study harder at school.
n/a,Bill loves his Mac and so does Andrew. But Andrew,n/a,also has a PC,is looking for revenge,took it apart,loves Bill
n/a,A bird sings in the woods. He,n/a,is looking for a mate.,is scared of the new housecat.,doesn't like being trapped in a cage.,is migrating north for the winter.
n/a,"He wasn't irresponsible about his duties, so he was",n/a,responsible,not responsible,lazy,irresponsible
n/a,A girl walks her dog around her neighborhood. She…,n/a,then goes to the park,then laps up water from the faucet,wags her tail,catches the frisbee in her mouth
n/a,Janice fights with her sister. Janice,n/a,punches her,throws a mountain at her sister,drinks nitro,sisters her fight attack
n/a,A car drives on a long highway for one hundred hours without stopping. The car,n/a,is a solar car with batteries for the night.,can fly.,has flat tires.,has no driver.
n/a,"I started up the steps to the front door of 326 East Sixty-ninth Street, then realized I couldn't make it with both bags and my violin. Leaving one bag on the sidewalk, I",n/a,dragged the other up the steps with me,brought more bags and started playing the violin,nothing,nothing
n/a,The boy thought he bought his a dad a brand new office chair for christmas. The boy,n/a,realized it was used.,took the chair apart.,set the chair on fire.,painted the chair.
